EntryTime,Expiry,Type,Strike,Direction,PnL
2024-11-14T15:00:00.0,2024-11-15T21:00:00.0,Put,591.0,-1,-4.250000000000054
2024-11-14T15:00:00.0,2024-11-15T21:00:00.0,Call,601.0,-1,0.34
2024-11-14T15:00:00.0,2024-11-15T21:00:00.0,Put,585.0,1,-0.11
2024-11-14T15:00:00.0,2024-11-15T21:00:00.0,Call,605.0,1,-0.06
2024-11-15T15:00:00.0,2024-11-15T21:00:00.0,Put,585.0,-1,0.25
2024-11-15T15:00:00.0,2024-11-15T21:00:00.0,Call,592.0,-1,0.2
2024-11-15T15:00:00.0,2024-11-15T21:00:00.0,Put,579.0,1,-0.04
2024-11-15T15:00:00.0,2024-11-15T21:00:00.0,Call,597.0,1,-0.02
2024-11-18T15:00:00.0,2024-11-19T21:00:00.0,Put,580.0,-1,0.41
2024-11-18T15:00:00.0,2024-11-19T21:00:00.0,Call,590.0,-1,-0.26999999999995
2024-11-18T15:00:00.0,2024-11-19T21:00:00.0,Put,575.0,1,-0.13
2024-11-18T15:00:00.0,2024-11-19T21:00:00.0,Call,597.0,1,-0.02
2024-11-19T15:00:00.0,2024-11-20T21:00:00.0,Put,577.0,-1,0.63
2024-11-19T15:00:00.0,2024-11-20T21:00:00.0,Call,592.0,-1,0.52
2024-11-19T15:00:00.0,2024-11-20T21:00:00.0,Put,571.0,1,-0.19
2024-11-19T15:00:00.0,2024-11-20T21:00:00.0,Call,597.0,1,-0.1
2024-11-20T15:00:00.0,2024-11-21T21:00:00.0,Put,580.0,-1,0.63
2024-11-20T15:00:00.0,2024-11-21T21:00:00.0,Call,595.0,-1,0.46
2024-11-20T15:00:00.0,2024-11-21T21:00:00.0,Put,573.0,1,-0.11
2024-11-20T15:00:00.0,2024-11-21T21:00:00.0,Call,600.0,1,-0.07
2024-11-21T15:00:00.0,2024-11-22T21:00:00.0,Put,582.0,-1,0.5
2024-11-21T15:00:00.0,2024-11-22T21:00:00.0,Call,596.0,-1,0.51
2024-11-21T15:00:00.0,2024-11-22T21:00:00.0,Put,576.0,1,-0.15999999999999998
2024-11-21T15:00:00.0,2024-11-22T21:00:00.0,Call,602.0,1,-0.06
2024-11-22T15:00:00.0,2024-11-22T21:00:00.0,Put,592.0,-1,0.31
2024-11-22T15:00:00.0,2024-11-22T21:00:00.0,Call,598.0,-1,0.29
2024-11-22T15:00:00.0,2024-11-22T21:00:00.0,Put,586.0,1,-0.060000000000000005
2024-11-22T15:00:00.0,2024-11-22T21:00:00.0,Call,603.0,1,-0.01
2024-11-25T15:00:00.0,2024-11-26T21:00:00.0,Put,594.0,-1,0.34
2024-11-25T15:00:00.0,2024-11-26T21:00:00.0,Call,603.0,-1,0.28
2024-11-25T15:00:00.0,2024-11-26T21:00:00.0,Put,589.0,1,-0.12
2024-11-25T15:00:00.0,2024-11-26T21:00:00.0,Call,609.0,1,-0.02
2024-11-26T15:00:00.0,2024-11-27T21:00:00.0,Put,594.0,-1,0.27
2024-11-26T15:00:00.0,2024-11-27T21:00:00.0,Call,603.0,-1,0.18999999999999997
2024-11-26T15:00:00.0,2024-11-27T21:00:00.0,Put,588.0,1,-0.08
2024-11-26T15:00:00.0,2024-11-27T21:00:00.0,Call,606.0,1,-0.04
2024-11-27T15:00:00.0,2024-11-27T21:00:00.0,Put,597.0,-1,0.17
2024-11-27T15:00:00.0,2024-11-27T21:00:00.0,Call,603.0,-1,0.11000000000000001
2024-11-27T15:00:00.0,2024-11-27T21:00:00.0,Put,591.0,1,-0.03
2024-11-27T15:00:00.0,2024-11-27T21:00:00.0,Call,607.0,1,-0.01
2024-11-29T15:00:00.0,2024-11-29T21:00:00.0,Put,599.0,-1,0.19
2024-11-29T15:00:00.0,2024-11-29T21:00:00.0,Call,603.0,-1,0.06
2024-11-29T15:00:00.0,2024-11-29T21:00:00.0,Put,593.0,1,-0.03
2024-11-29T15:00:00.0,2024-11-29T21:00:00.0,Call,606.0,1,-0.01
2024-12-02T15:00:00.0,2024-12-03T21:00:00.0,Put,599.0,-1,0.36
2024-12-02T15:00:00.0,2024-12-03T21:00:00.0,Call,607.0,-1,0.17
2024-12-02T15:00:00.0,2024-12-03T21:00:00.0,Put,593.0,1,-0.06
2024-12-02T15:00:00.0,2024-12-03T21:00:00.0,Call,610.0,1,-0.03
2024-12-03T15:00:00.0,2024-12-04T21:00:00.0,Put,599.0,-1,0.32
2024-12-03T15:00:00.0,2024-12-04T21:00:00.0,Call,607.0,-1,-0.14000000000000454
2024-12-03T15:00:00.0,2024-12-04T21:00:00.0,Put,593.0,1,-0.06
2024-12-03T15:00:00.0,2024-12-04T21:00:00.0,Call,610.0,1,-0.03
2024-12-04T15:00:00.0,2024-12-05T21:00:00.0,Put,602.0,-1,0.35
2024-12-04T15:00:00.0,2024-12-05T21:00:00.0,Call,609.0,-1,0.16
2024-12-04T15:00:00.0,2024-12-05T21:00:00.0,Put,591.0,1,-0.03
2024-12-04T15:00:00.0,2024-12-05T21:00:00.0,Call,611.0,1,-0.05
2024-12-05T15:00:00.0,2024-12-06T21:00:00.0,Put,604.0,-1,0.41
